youtube_link,p1_character,p2_character
https://www.youtube.com/embed/QmgLCZoVjTc?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Cloud,Ness
https://www.youtube.com/embed/ahtgSs61cRY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,Cloud
https://www.youtube.com/embed/CynaBpi0-t0?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Lucina,Cloud
https://www.youtube.com/embed/-tT1hiprvU8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Cloud,R.O.B.
https://www.youtube.com/embed/AsL5HVmIM1A?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Lucina,Ness
https://www.youtube.com/embed/jVv7mQpchm0?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Sonic
https://www.youtube.com/embed/E7UDjR2ZpWw?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Snake,Roy
https://www.youtube.com/embed/fjRjvrZOG4A?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Donkey Kong,R.O.B.
https://www.youtube.com/embed/tTzSK-Mdx9s?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Cloud,Snake
https://www.youtube.com/embed/fuWnYuvn7mE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,Cloud
https://www.youtube.com/embed/peghZldpLHQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pac-Man,Sheik
https://www.youtube.com/embed/0wMVYtKUiKM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Lucina,Peach
https://www.youtube.com/embed/uyfDJBRgMi8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Cloud
https://www.youtube.com/embed/q2wYUPYy-Ks?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,King K. Rool,Duck Hunt
https://www.youtube.com/embed/yGaaE4z3ZCA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Yoshi,Cloud
https://www.youtube.com/embed/jysTSVrynzM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Ganondorf,Banjo
https://www.youtube.com/embed/qopQZhwp14M?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Samus,Roy
https://www.youtube.com/embed/kJwNw2IbGTk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Wario,Zelda
https://www.youtube.com/embed/h9MDjVzRXAo?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mii Swordfighter,Mr. Game & Watch
https://www.youtube.com/embed/Djiih2dZWJo?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Cloud,Mr. Game & Watch
https://www.youtube.com/embed/AJ5Dx5L4aXY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Snake,Joker
https://www.youtube.com/embed/F9R_u-YVcPQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Wario,Chrom
https://www.youtube.com/embed/rxqhPOJNJTs?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,Bowser Jr.
https://www.youtube.com/embed/h6XoZwttsfE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Ness,Pokemon Trainer
https://www.youtube.com/embed/bZUmgghIlHQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Palutena,Pikachu
https://www.youtube.com/embed/sjGHSlUS8QQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Ike,Duck Hunt
https://www.youtube.com/embed/LivmoKi6hoI?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pikachu,Ryu
https://www.youtube.com/embed/MRBAImooX9s?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Ness,Mr. Game & Watch
https://www.youtube.com/embed/wtc8FsB_Mlc?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Ice Climbers,Little Mac
https://www.youtube.com/embed/MxeCw8CghPg?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Falco,Joker
https://www.youtube.com/embed/0UoUd6L1buE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Bowser,Lucina
https://www.youtube.com/embed/QT2To3WJshs?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Lucina,Pichu
https://www.youtube.com/embed/p2pVR10Nrqw?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Wolf,Bowser
https://www.youtube.com/embed/aTAciA0mg8A?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Jigglypuff,Bowser
https://www.youtube.com/embed/vclXitwKNlk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mr. Game & Watch,Cloud
https://www.youtube.com/embed/6f2_XYej7ms?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Snake,Ness
https://www.youtube.com/embed/YsQw7vZ6G1Q?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Mr. Game & Watch
https://www.youtube.com/embed/iJzCnqBZCfA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mr. Game & Watch,Peach
https://www.youtube.com/embed/PyGJXD5aYm0?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Snake,Hero
